"","name","type","lon","lat","address","zip"
"307","Gebenstorf","m",8.2443692,47.4900828,"Wambisterstrasse","5412"
"308","Gelterkinden","mm",7.8506659,47.4660758,"Badweg 2","4460"
"309","Genestrerio","pica",8.9661279,45.8550221,"Via Canova 7","6852"
"310","Genève - Balexert","mmm",6.1129757,46.2187738,"Avenue Louis-Casaï 27","1211"
"311","Genève - Balexert","mgls",6.1129989,46.2189827,"Av. Louis Casaï 27","1209"
"312","Genève - Champel","mm",6.152497,46.1907663,"Avenue de Champel 61","1206"
"313","Genève - Charmilles","mm",6.1231482,46.2082241,"Promenade de l'Europe 11","1203"
"314","Genève - Cointrin","soca",6.1078241,46.224419,"Avenue Louis-Casaï 73","1216"
"315","Genève - Cointrin Aéroport","m",6.1102265,46.2312856,"Route de l'Aéroport 25","1215"
"316","Genève - Cornavin Gare","m",6.1422156,46.2098132,"Place de Cornavin 3-7","1201"
"317","Genève - Eaux-Vives","mm",6.1585088,46.2039608,"Rue des Eaux-Vives 17-19","1207"
"318","Genève - Fusterie M-Express","m",6.1461998,46.2039287,"Place de la Fusterie 7","1204"
"319","Genève - Jonction","mm",6.1306224,46.2007896,"Boulevard Carl-Vogt 6","1205"
"320","Genève - Les Cygnes","mm",6.1449087,46.2113723,"Rue de Lausanne 18-20","1201"
